year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,carrier_delay,weather_delay,origin,destination,scheduled_departure_time,actual_departure_time,scheduled_arrival_time,actual_arrival_time,flight_status
2020,12,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",2.0,1.0,0.0,0.0,1.0,0.0,0.0,SFO,DFW,18:44,18:48,20:37,21:04,delayed
2020,12,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",14.0,1.0,1.0,0.0,0.0,18.0,0.0,LAX,SFO,09:23,09:23,10:51,10:54,on-time
2020,12,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",11.0,0.0,0.0,0.0,0.0,0.0,0.0,PHX,DEN,12:29,12:40,14:13,14:42,delayed
2020,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",42.0,1.0,1.0,0.0,0.0,64.0,0.0,DFW,SFO,21:38,21:41,23:10,23:30,delayed
2020,12,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",91.0,8.0,4.0,0.0,4.0,137.0,0.0,SEA,ATL,03:43,03:54,04:51,05:19,delayed
2020,12,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",12.0,1.0,1.0,0.0,0.0,44.0,0.0,ATL,DFW,09:31,09:32,10:48,11:02,on-time
2020,12,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",16.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,LAX,21:06,21:12,22:52,23:06,on-time
2020,12,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",4.0,0.0,0.0,0.0,0.0,0.0,0.0,SFO,ORD,19:23,19:38,20:59,21:00,on-time
2020,12,9E,Endeavor Air Inc.,MKE,"Milwaukee, WI: General Mitchell International",16.0,3.0,1.0,0.0,2.0,16.0,0.0,DFW,ORD,08:53,08:59,10:15,10:35,delayed
2020,12,9E,Endeavor Air Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",1.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,SEA,07:25,07:31,08:43,09:07,delayed
2020,12,9E,Endeavor Air Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",119.0,6.0,3.0,0.0,3.0,335.0,0.0,MIA,PHX,00:14,00:23,01:24,01:38,on-time
2020,12,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",72.0,4.0,0.0,0.0,4.0,0.0,0.0,LAX,ATL,09:56,09:57,11:51,12:14,delayed
2020,12,9E,Endeavor Air Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",83.0,4.0,3.0,1.0,0.0,71.0,136.0,SEA,JFK,07:17,07:17,09:14,09:30,delayed
2020,12,9E,Endeavor Air Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",14.0,2.0,0.0,0.0,2.0,0.0,0.0,DFW,PHX,22:32,22:41,00:05,00:17,on-time
2020,12,AA,American Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",2.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,LAX,03:19,03:29,04:28,04:38,on-time
2020,12,AA,American Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",26.0,6.0,1.0,0.0,5.0,34.0,0.0,JFK,DFW,23:19,23:33,01:17,01:37,delayed
2020,12,AA,American Airlines Inc.,ILM,"Wilmington, NC: Wilmington International",31.0,2.0,2.0,0.0,0.0,53.0,0.0,MIA,DEN,12:34,12:47,13:57,14:03,on-time
2020,12,AA,American Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",13.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,LAX,09:43,09:47,11:30,11:52,delayed
2020,12,AA,American Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",2.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,SEA,11:26,11:37,13:13,13:17,on-time
2020,12,AA,American Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",7.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,LAX,05:32,05:44,07:09,07:14,on-time
2020,12,AA,American Airlines Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",16.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,SFO,22:32,22:41,23:36,00:01,delayed
2020,12,AA,American Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",14.0,0.0,0.0,0.0,0.0,0.0,0.0,DFW,JFK,05:07,05:14,07:01,07:12,on-time
2020,12,AA,American Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",13.0,1.0,0.0,0.0,1.0,0.0,0.0,DEN,SFO,04:51,04:55,06:18,06:43,delayed
2020,12,AA,American Airlines Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",1.0,0.0,0.0,0.0,0.0,0.0,0.0,JFK,LAX,19:03,19:14,20:30,20:56,delayed
2020,12,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",31.0,2.0,0.0,0.0,2.0,0.0,0.0,DEN,MIA,08:20,08:26,09:42,09:58,delayed
2020,12,AS,Alaska Airlines Inc.,BNA,"Nashville, TN: Nashville International",47.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,ATL,22:14,22:21,23:14,23:35,delayed
2020,12,AS,Alaska Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",61.0,1.0,0.0,1.0,0.0,0.0,36.0,JFK,SEA,00:52,01:04,02:10,02:18,on-time
